"키","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0131","Last Present set for flim","Jeollanam-do","Boseong-gun","Boseong-eup"
"BE_IW04-0132","Teacher Mr. Kim set for flim","","",""
"BE_IW04-0133","Seorak Cinerama","","",""
"BE_IW04-0134","Sumstudio Misari Fliming Site","","",""
"BE_IW04-0135","Seomjingang gichamaeul Fliming Site","","",""
"BE_IW04-0136","novel'Gaekju'Background region","Gyeongsangbuk-do","Cheongsong-gun","Budong-myeon"
"BE_IW04-0137","novel'Namhansanseong'Background region","Gyeonggi-do","Gwangju-si","Jungbu-myeon"
"BE_IW04-0138","novel'Nokdu Janggun'Background region","Jeollabuk-do","Gochang-gun","Asan-myeon"
"BE_IW04-0139","novel'Nokdu Janggun'Background region","","",""
"BE_IW04-0140","novel'Nongae'Background region","","",""
"BE_IW04-0141","novel'Leejin'Background region","","",""
"BE_IW04-0142","novel'The Land'Background region","Gyeongsangnam-do","Hadong-gun","Agyang-myeon"
"BE_IW04-0143","novel'Yeokma'Background region","","",""
"BE_IW04-0144","Songaksan Mountain Filming site","Jeju-do","Seogwipo-si","Daejeong-eup"
"BE_IW04-0145","Soemoridaegi coji","","",""
"BE_IW04-0146","Empire of Lust Filming site","","",""
"BE_IW04-0147","Empire of Lust Filming site","","",""
"BE_IW04-0148","Empire of Lust Filming site","","",""
"BE_IW04-0149","Suncheon Drama Filming site","","",""
"BE_IW04-0150","Smile Again Filming site","","",""
"BE_IW04-0151","Stop Motion Studio ","Gangwon-do","Chuncheon-si","Seo-myeon"
"BE_IW04-0152","Studio1","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0153","Studio2","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0154","Studio3","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0155","Studio5","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0156","Studio Ara","","",""
"BE_IW04-0157","Seulpeun Yeon-ga Filming site","Incheon","Ongjin-gun","Bukdo-myeon"
"BE_IW04-0158","Shinlaui dalbam Filming site","","",""
"BE_IW04-0159","Sinseonbawi Rock","","",""
"BE_IW04-0160","Silmido Filming site","Incheon","Jung-gu","Yongyu-dong"
"BE_IW04-0161","Spring in My Hometown Filming site","","",""
"BE_IW04-0162","Spring in My Hometown Filming site","","",""
"BE_IW04-0163","Spring in My Hometown Filming site","Gyeongsangnam-do","Uiryeong-gun","Gungnyu-myeon"
"BE_IW04-0164","Art Bank Filming site","Gyeonggi-do","Namyangju-si","Onam-eup"
"BE_IW04-0165","Age of Wanderer Filming site","Gyeonggi-do","Bucheon-si Wonmi-gu","Sang3-dong"
"BE_IW04-0166","One Fine Day Filming site","","",""
"BE_IW04-0167","One Fine Day Filming site","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0168","One Fine Day Filming site","","",""
"BE_IW04-0169","Summer Scent Filming site","Gangwon-do","Pyeongchang-gun","Daegwallyeong-myeon"
"BE_IW04-0170","Yeon Gaesomun Filming site(Open)","","",""
"BE_IW04-0171","Yeon Gaesomun Filming site","","",""
"BE_IW04-0172","Yeon Gaesomun Filming site","","",""
"BE_IW04-0173","Lovers Filming site","Incheon","Ongjin-gun","Bukdo-myeon"
"BE_IW04-0174","Love Wind Love Song Filming site","Jeju-do","Jeju-si","Hallim-eup"
"BE_IW04-0175","My Sassy Girl Filming site","Gangwon-do","Jeongseon-gun","Sin-eup"
"BE_IW04-0176","My Sassy Girl Filming site","","",""
"BE_IW04-0177","My Sassy Girl Filming site","Busan","Saha-gu","Hadan1-dong"
"BE_IW04-0178","My Sassy Girl Filming site","Gyeongsangnam-do","Yangsan-si","Wondong-myeon"
"BE_IW04-0179","My Sassy Girl Filming site","Gyeonggi-do","Hanam-si","Pungsan-dong"
"BE_IW04-0180","My Sassy Girl Filming site","","",""
"BE_IW04-0181","Theater","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0182","Theater","Gyeonggi-do","Namyangju-si","Joan-myeon"
"BE_IW04-0183","The Age of Heroes Filming site","Gyeongsangnam-do","Changnyeong-gun","Namji-eup"
"BE_IW04-0184","Ogu Filming site","Gyeongsangnam-do","Miryang-si","Bubuk-myeon"
"BE_IW04-0185","On Dal Filming site","Chungcheongbuk-do","Danyang-gun","Yeongchun-myeon"
"BE_IW04-0186","Old boy Filming site","Gyeongsangnam-do","Sancheon-gun","Saengbiryang-myeon"
"BE_IW04-0187","All In House","Jeju-do","Seogwipo-si","Seongsan-eup"
"BE_IW04-0188","Wando Sosepo Open Set Studio","Jeollanam-do","Wando-gun","Wando-eup"
"BE_IW04-0189","Taejo Wang Geon Filming site","Chungcheongbuk-do","Jecheon-si","Geumseong-myeon"
"BE_IW04-0190","Wang-ui Namj Filming site","Gyeonggi-do","Yongin-si Giheung-gu","Sanggal-dong"
"BE_IW04-0191","The Boss Filming site","","",""
"BE_IW04-0192","April Snow Filming site","","",""
"BE_IW04-0193","April Snow Filming site","","",""
"BE_IW04-0194","April Snow Filming site","","",""
"BE_IW04-0195","A Dragon's Tear Filming site","","",""
"BE_IW04-0196","Yongin MBC Dramia","Gyeonggi-do","Yongin-si Cheoin-gu","Baegam-myeon"
"BE_IW04-0197","Yongin MBC Daejanggeum Park","","",""
"BE_IW04-0198","Old Partner couple's House","","",""
"BE_IW04-0199","Old Partner Filming site","Gyeongsangbuk-do","Bonghwa-gun","Sangun-myeon"
"BE_IW04-0200","Welcome to Dongmakgol Filming site","","",""
"BE_IW04-0201","Welcome to Dongmakgol Filming site","Gangwon-do","Pyeongchang-gun","Mitan-myeon"
"BE_IW04-0202","Welcome to Dongmakgol Filming site","","",""
"BE_IW04-0203","Gingko tree bed Filming site","Gyeongsangnam-do","Geoje-si","Dongbu-myeon"
"BE_IW04-0204","Gingko tree bed Filming site","","",""
"BE_IW04-0205","Gingko tree bed Filming site","","",""
"BE_IW04-0206","Lee Jae-Soo's Rebellion Filming site","Jeju-do","Jeju-si","Gujwa-eup"
"BE_IW04-0207","Iksan film sets","Jeollabuk-do","Iksan-si","Seongdang-myeon"
"BE_IW04-0208","Life is beautiful Filming site","Jeju-do","Seogwipo-si","Daejeong-eup"
"BE_IW04-0209","Mermaid Princess Filming site","","",""
"BE_IW04-0210","Mermaid Princess Filming site","Jeju-do","Jeju-si","Udo-myeon"
"BE_IW04-0211","Iljimae Jaecheon Filming site","Chungcheongbuk-do","Jecheon-si","Cheongpung-myeon"
"BE_IW04-0212","Iljimae Filming site(Chilseong valley)","Gyeongsangbuk-do","Yeongyang-gun","Irwol-myeon"
"BE_IW04-0213","Iljimae Filming site(Chimbyeuk park)","Gyeongsangbuk-do","Yeongyang-gun","Yeongyang-eup"
"BE_IW04-0214","Ja Myung Go Filming site","","",""
"BE_IW04-0215","Jang Gil-san & Ballad of Seo Dong Filming site","Chungcheongnam-do","Taean-gun","Nam-myeon"
"BE_IW04-0216","Jang Gil-san Filming site","Chungcheongnam-do","Taean-gun","Wonbuk-myeon"
"BE_IW04-0217","Jang Gil-san Filming site","Gangwon-do","Pyeongchang-gun","Daegwallyeong-myeon"
"BE_IW04-0218","Jeonju Film Studio Complex","","",""
"BE_IW04-0219","The Dawn of the Empire Filming site","Gyeongsangbuk-do","Mungyeong-si","Mungyeong-eup"
"BE_IW04-0220","Jumong ","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0221","Jumong Filming site","Jeollanam-do","Naju-si","Gongsan-myeon"
"BE_IW04-0222","Jukseong Filming site","","",""
"BE_IW04-0223","Jurassic studio","","",""
"BE_IW04-0224","Stairway to Heaven Filming site","Incheon","Jung-gu","Yongyu-dong"
"BE_IW04-0225","Heaven's Soldiers","Gyeongsangnam-do","Sancheon-gun","Chahwang-myeon"
"BE_IW04-0226","Beyond the Years Filming site","Jeollanam-do","Jangheung-gun","Hoejin-myeon"
"BE_IW04-0227","Beyond the Years Filming site","","",""
"BE_IW04-0228","Cheongseokkol Filming site","","",""
"BE_IW04-0229","Springtime Filming site","Gyeongsangnam-do","Hadong-gun","Agyang-myeon"
"BE_IW04-0230","Springtime Filming site","","",""
"BE_IW04-0231","Springtime Filming site","","",""
